"id","path","data_type","launch_id","metrics"
32,/mnt/cephfs5_ro/FASTQS/uvd16/200629_A00919_0083_AH23J2DSXY_fastq4/M/SI-GA-A3_3/LV3000650027_S3_L001_R2_001.fastq.gz,FASTQ,1,"null"
33,/mnt/cephfs5_ro/FASTQS/uvd16/200629_A00919_0083_AH23J2DSXY_fastq4/M/SI-GA-B3_2/LV3000650068_S6_L003_R1_001.fastq.gz,FASTQ,2,"null"
34,/mnt/cephfs5_ro/FASTQS/uvd16/200629_A00919_0083_AH23J2DSXY_fastq4/M/SI-GA-B3_2/LV3000650068_S6_L002_R2_001.fastq.gz,FASTQ,2,"null"
35,/mnt/cephfs5_ro/FASTQS/uvd16/200629_A00919_0083_AH23J2DSXY_fastq4/M/SI-GA-B3_2/LV3000650068_S6_L002_R1_001.fastq.gz,FASTQ,2,"null"
36,/mnt/cephfs5_ro/FASTQS/uvd16/200629_A00919_0083_AH23J2DSXY_fastq4/M/SI-GA-B3_2/LV3000650068_S6_L001_R1_001.fastq.gz,FASTQ,2,"null"
37,/mnt/cephfs5_ro/FASTQS/uvd16/200629_A00919_0083_AH23J2DSXY_fastq4/M/SI-GA-B3_2/LV3000650068_S6_L004_R1_001.fastq.gz,FASTQ,2,"null"
38,/mnt/cephfs5_ro/FASTQS/uvd16/200629_A00919_0083_AH23J2DSXY_fastq4/M/SI-GA-B3_2/LV3000650068_S6_L003_R2_001.fastq.gz,FASTQ,2,"null"
39,/mnt/cephfs5_ro/FASTQS/uvd16/200629_A00919_0083_AH23J2DSXY_fastq4/M/SI-GA-B3_2/LV3000650068_S6_L001_R2_001.fastq.gz,FASTQ,2,"null"
40,/mnt/cephfs5_ro/FASTQS/uvd16/200629_A00919_0083_AH23J2DSXY_fastq4/M/SI-GA-B3_2/LV3000650068_S6_L004_R2_001.fastq.gz,FASTQ,2,"null"
41,/mnt/cephfs5_ro/FASTQS/uvd16/200629_A00919_0083_AH23J2DSXY_fastq4/M/SI-GA-B3_1/LV3000650068_S5_L002_R2_001.fastq.gz,FASTQ,2,"null"
42,/mnt/cephfs5_ro/FASTQS/uvd16/200629_A00919_0083_AH23J2DSXY_fastq4/M/SI-GA-B3_1/LV3000650068_S5_L003_R2_001.fastq.gz,FASTQ,2,"null"
43,/mnt/cephfs5_ro/FASTQS/uvd16/200629_A00919_0083_AH23J2DSXY_fastq4/M/SI-GA-B3_1/LV3000650068_S5_L003_R1_001.fastq.gz,FASTQ,2,"null"
44,/mnt/cephfs5_ro/FASTQS/uvd16/200629_A00919_0083_AH23J2DSXY_fastq4/M/SI-GA-B3_1/LV3000650068_S5_L002_R1_001.fastq.gz,FASTQ,2,"null"
45,/mnt/cephfs5_ro/FASTQS/uvd16/200629_A00919_0083_AH23J2DSXY_fastq4/M/SI-GA-B3_1/LV3000650068_S5_L004_R1_001.fastq.gz,FASTQ,2,"null"
46,/mnt/cephfs5_ro/FASTQS/uvd16/200629_A00919_0083_AH23J2DSXY_fastq4/M/SI-GA-B3_1/LV3000650068_S5_L001_R1_001.fastq.gz,FASTQ,2,"null"
47,/mnt/cephfs5_ro/FASTQS/uvd16/200629_A00919_0083_AH23J2DSXY_fastq4/M/SI-GA-B3_1/LV3000650068_S5_L004_R2_001.fastq.gz,FASTQ,2,"null"
48,/mnt/cephfs5_ro/FASTQS/uvd16/200629_A00919_0083_AH23J2DSXY_fastq4/M/SI-GA-B3_1/LV3000650068_S5_L001_R2_001.fastq.gz,FASTQ,2,"null"
